# This file, metarStationInfo.txt, contains station information for METAR and
# SAO sites. (Some Canadian station still report in SA format. Although these
# are now converted at OSO to METAR form, we note them as SAO here.)
#
# Good sources of station information include
# FAA ASOS/AWOS: https://www.faa.gov/air_traffic/weather/asos
# AirNav, linked to the Unidata site, is excellent for U.S. sites.
# METAR & TAF  : https://metar-taf.com/country
#
# Elevations are in meters. "-0" is used to signify unknown elevation.
# Stations marked "e" at the right include guesses for some of the information.
#
# FILE UPDATED 07/16/2026
# FOR CHANGES TO THIS FILE PLEASE CONTACT
# xiaobiao.fan@noaa.gov
#
# number  |ID   |lat     |lon      |elev |station name                        |cntry|
# (10)    |(5)  |(sn2.4) |(sn3.4)  |(5)  |(36)                                |(2)  |
0000071369|CTCW | 45.0330| -74.6830|   58|Cornwall, ON                        |CA|MTR
0000071581|CTNK | 45.5300| -78.2700|  397|Algonquin Pk East Gate, ON          |CA|SAO
0000000000|CTRA | 49.6700| -93.7300|  435|Rawson Lake, ON                     |CA|SAO
0000071367|CTWN | 45.0300| -75.2000|   75|Winchester, ON                      |CA|MTR
0000071681|CVAS | 50.7170|-121.2830|  327|Ashcroft, BC                        |CA|MTR
0000071944|CVZY | 55.6000|-123.1333|  694|MacKenzie Auto, BC                  |CA|SAO
0000071461|CWAB | 48.3000| -88.8700|  218|Trowbridge, ON                      |CA|MTR
0000071483|CWAC | 48.6700|-124.8400|   41|Nitinat Lake, BC                    |CA|SAO
0000000000|CWAD | 50.0000|-125.2000|    4|Cape Mudge Lgt Hse, BC              |CA|MTR
0000071175|CWAE | 50.1200|-122.9500|  658|Whistler, BC                        |CA|MTR
0000071426|CWAF | 48.0800| -69.5500|    6|Ile Rouge, QC                       |CA|MTR
0000071806|CWAG | 49.9200| -55.6700|  194|La Scie, NF                         |CA|MTR
0000071410|CWAH | 45.8600| -64.2700|   23|Amherst, NS                         |CA|MTR
0000071465|CWAJ | 42.2600| -81.9100|  178|Erieau (MAPS), ON                   |CA|SAO
0000071112|CWAN | 48.9300|-125.5500|   27|Amphitrite Pt, BC                   |CA|MTR
0000071110|CWAQ | 50.5900|-126.9300|   59|Alert Bay, BC                       |CA|MTR
0000071807|CWAR | 47.3000| -54.0100|   16|Argentia (MARS), NF                 |CA|MTR
0000071211|CWAS | 49.4900|-123.3000|    0|Pam Rocks, BC                       |CA|SAO
0000000000|CWAU | 52.1800|-128.1200|    5|Dryad Point Lgt Hse, BC             |CA|MTR
0000071248|CWAV | 51.7900|-114.6800| 1113|Sundre, AB                          |CA|SAO
0000071557|CWAW | 44.6400| -63.5200|    6|Shearwater Jetty, NS                |CA|MTR
0000071819|CWAX | 51.3800| -55.6300|  111|Saint Anthony, NF                   |CA|MTR
0000071732|CWBA | 46.7200| -79.1000|  180|Barrage Temiscaming, QC             |CA|SAO
0000071194|CWBD | 47.6200| -57.6200|    1|Burgeo, NF                          |CA|MTR
0000071460|CWBE | 45.9700| -81.4900|  196|Killarney (MAPS), ON                |CA|MTR
0000071194|CWBF | 47.6200| -57.6400|   12|Burgeo (AUTO), NF                   |CA|MTR
0000071760|CWBG | 51.2600|-123.0900| 1692|Big Creek (AUTO), BC                |CA|SAO
0000071895|CWBH | 50.9300|-127.9500|   14|Bull Harbour, BC                    |CA|MTR
0000071632|CWBI | 45.8000| -80.5300|  190|Britt, ON                           |CA|MTR
0000071162|CWBJ | 51.0400| -95.6700|  258|Bisset, MB                          |CA|MTR
0000071415|CWBK | 45.7800| -62.6800|    2|Caribou Point, NS                   |CA|MTR
0000000000|CWBN | 58.6800|-123.7700| 1064|Summit Lake, BC                    e|CA|SAO
0000071457|CWBO | 50.5500|-111.8500|  746|Brooks, AB                          |CA|SAO
0000000000|CWBP | 58.8500|-125.2300|  731|Muncho Lake S, BC                  e|CA|SAO
0000071049|CWBR | 66.0400| -91.8400|  150|Brown River, NU                     |CA|MTR
0000071198|CWBS | 46.1900| -72.9200|   16|Lac St Pierre, QC                   |CA|SAO
0000071512|CWBT | 50.2700| -64.2300|   11|Longue Pointe de Mingan, QC         |CA|SAO
0000000000|CWBU | 53.3400|-104.0200|  373|Nipawin (AUTOB), SK                 |CA|MTR
0000071403|CWBV | 44.8200| -62.3400|   10|Beaver Island, NS                   |CA|MTR
0000000000|CWBX | 59.4200|-126.1000|  435|Muncho Lake N, BC                  e|CA|SAO
0000071810|CWBY | 49.8400| -64.3000|   53|Port Menier, QC                     |CA|MTR
0000071712|CWBZ | 45.1200| -74.2800|   49|St Anicet, QC                       |CA|MTR
0000071818|CWCA | 53.7100| -57.0300|   14|Cartwright, NF                      |CA|MTR
0000071158|CWCF | 52.3500| -97.0300|  222|Berens River, MB                    |CA|SAO
0000000000|CWCG | 45.3800| -75.7200|   79|Ottawa CDA, ON                      |CA|SAO
0000071748|CWCH | 48.7500| -91.6200|  393|Atikokan, ON                        |CA|MTR
0000071433|CWCI | 47.3400| -85.8300|  187|Caribou Island, ON                  |CA|SAO
0000071750|CWCJ | 48.6100| -86.3000|  206|Pukaskwa Park, ON                   |CA|SAO
0000071474|CWCL | 51.1600|-121.5000| 1057|Clinton, BC                         |CA|MTR
0000071270|CWCO | 44.5100| -80.2200|  180|Collingwood, ON                     |CA|SAO
0000071691|CWCP | 43.4600| -65.4700|   13|Baccaro Point, NS                   |CA|MTR
0000000000|CWCQ | 47.0100| -65.4500|   34|Chatham (AUTOB), NB                 |CA|MTR
0000071873|CWCT | 52.0100|-111.3000|  791|Coronation, AB                      |CA|MTR
0000071436|CWCU | 44.3800| -79.7800|  295|Barrie, ON                          |CA|MTR
0000000000|CWCV | 49.6000|-126.6200|   16|Nootka Lgt Stn, BC                  |CA|MTR
0000071056|CWCX | 66.0000|-117.7700|  185|Clut Lake (AUT), NT                 |CA|MTR
0000000000|CWCZ | 51.6000|-127.8700|   21|Addenbroke Is Lgt Hse, BC           |CA|MTR
0000071417|CWDA | 50.7200| -56.1200|   29|Englee, NF                          |CA|MTR
0000071967|CWDB | 61.3700|-139.0600|  806|Burwash (AUTOB), YK                 |CA|MTR
0000071076|CWDC | 59.5700|-108.4800|  318|Uranium City, SK                    |CA|MTR
0000071273|CWDD | 42.3000| -82.7000|  184|Belle River, ON                     |CA|SAO
0000071283|CWDF | 44.7300| -81.2800|  181|Oliphant, ON                        |CA|SAO
0000071185|CWDH | 50.2300| -57.5800|   20|Daniels Habour, NF                  |CA|MTR
0000071400|CWDI | 48.9800| -56.0700|  105|Badger, NF                          |CA|MTR
0000071514|CWDJ | 51.0900| -93.8000|  383|Red Lake (AUT), ON                  |CA|SAO
0000071234|CWDK | 50.0100|-113.6300| 1011|Claresholm, AB                      |CA|SAO
0000071958|CWDL | 58.4300|-130.0000|  816|Dease Lake, BC                      |CA|MTR
0000071814|CWDM | 50.4800| -59.6300|    9|Chevery, QC                         |CA|MTR
0000000000|CWDN | 44.5200| -80.0200|  182|Wasaga Beach, ON                    |CA|MTR
0000071402|CWDO | 49.6900| -54.8000|   92|Twillingate, NF                     |CA|MTR
0000071378|CWDQ | 47.4200| -72.8000|  169|La Tuque, QC                        |CA|MTR
0000071802|CWDS | 46.9300| -55.3800|   49|Saint Lawrence, NF                  |CA|MTR
0000071522|CWDT | 49.9000| -71.2500|  399|Chute des Passes, QC                |CA|SAO
0000071235|CWDU | 51.0900|-114.2200| 1235|Cop Upper, AB                       |CA|MTR
0000071435|CWDV | 49.0400| -90.4700|  489|Upsala, ON                          |CA|MTR
0000071558|CWDW | 51.3800| -56.1000|   29|St Anthony, NF                      |CA|SAO
0000000000|CWDX | 50.2400| -57.6100|   19|Daniels Harbr, NF                   |CA|MTR
0000071237|CWDZ | 51.4400|-112.6700|  677|Drumheller East, AB                 |CA|SAO
0000071448|CWEA | 50.1900| -96.0700|  268|Pinawa (AUTOB), MB                  |CA|MTR
0000071894|CWEB | 49.3900|-126.5500|    7|Estevan Point, BC                   |CA|SAO
0000071751|CWEC | 48.3700| -89.1200|  209|Welcome Island, ON                  |CA|MTR
0000071523|CWEE | 49.3000| -73.3500|  305|Chamouchouane, QC                   |CA|SAO
0000071418|CWEF | 47.2400| -60.1400|   26|St Paul Island, NS                  |CA|MTR
0000071131|CWEH | 49.4400|-108.9800| 1080|East End Cypress, SK                |CA|MTR
0000071447|CWEI | 49.2900|-100.9900|  446|Melita (AUTOB), MB                  |CA|MTR
0000071476|CWEK | 54.5900|-130.7000|    8|Grey Islet, BC                      |CA|SAO
0000071772|CWEL | 49.2200|-123.8000|    5|Entrance Island, BC                 |CA|SAO
0000000000|CWEM | 51.2500|-127.8300|   14|Egg Island, BC                      |CA|MTR
0000071421|CWEO | 51.8600| -63.5700|  593|Lac Eon, QC                         |CA|MTR
0000071412|CWEP | 46.4600| -61.9700|   13|East Point, PE                      |CA|MTR
0000071443|CWEQ | 52.1200|-101.2400|  335|Swan River, MB                      |CA|MTR
0000071424|CWER | 47.0000| -70.8200|    5|Ile D'Orleans, QC                   |CA|MTR
0000000000|CWES | 50.7900|-128.4300|   70|Cape Scott Lgt Hse, BC              |CA|MTR
0000071561|CWET | 44.2400| -79.7900|  251|Egbert (MAPS), ON                   |CA|SAO
0000071917|CWEU | 80.0000| -85.9300|   10|Eureka, NU                          |CA|MTR
0000071085|CWEV | 67.7000|-104.4700|   42|Ellice River, NU                    |CA|MTR
0000071524|CWEW | 45.8200| -73.4300|   21|L'Assomption, QC                    |CA|MTR
0000071473|CWEZ | 48.7900|-123.0500|    7|Saturna Island, BC                  |CA|SAO
0000071094|CWFD | 66.5986| -61.5727|  393|Cape Dyer AP, NU                    |CA|MTR
0000071238|CWFE | 53.6900|-112.8700|  716|Elk Is Natl Park, AB                |CA|MTR
0000071456|CWFF | 52.8200|-104.6000|  489|Melfort (AUTOB), SK                 |CA|SAO
0000071478|CWFG | 50.8300|-128.9000|  101|Sartine Island, BC                  |CA|MTR
0000000000|CWFH | 46.7200| -53.4900|  143|St. Shotts, NF                      |CA|MTR
0000071153|CWFJ | 49.2000|-113.2800| 1136|Cardston, AB                        |CA|SAO
0000071073|CWFL | 62.7200|-109.1700|  164|Fort Reliance, NT                   |CA|MTR
0000000000|CWFM | 50.3400|-125.4400|   23|Chatham Point, BC                   |CA|MTR
0000071920|CWFN | 57.3600|-107.1300|  499|Cree Lake, SK                       |CA|MTR
0000000000|CWFO | 54.6900|-101.7000|  304|Flin Flon, MB                       |CA|MTR
0000071902|CWFP | 56.5500| -61.7100|    7|Nain, NF                            |CA|MTR
0000071373|CWFQ | 45.0500| -72.7300|  152|Frelighsburg, QC                    |CA|MTR
0000071761|CWFR | 52.2900|-121.0500|  846|Horsefly River, BC                  |CA|SAO
0000000000|CWFU | 52.2400| -61.3200|  321|Little Macatina, NF                 |CA|MTR
0000071055|CWFX | 67.0400|-126.0900|  259|Colville Lake, NT                   |CA|MTR
0000000000|CWFY | 48.1700| -55.4900|  183|Conne River, NF                     |CA|MTR
0000071160|CWFZ | 62.7200|-109.1900|  168|Fort Reliance, NT                   |CA|MTR
0000071769|CWGB | 49.3500|-124.1700|    5|Ballenas Is (AUTO8), BC             |CA|SAO
0000071261|CWGD | 43.7800| -81.7200|  213|Goderich, ON                        |CA|SAO
0000000000|CWGE | 51.3000|-116.9800|  784|Golden, BC                          |CA|SAO
0000071281|CWGH | 44.4100| -75.8000|   82|Grenadier Island, ON                |CA|MTR
0000071972|CWGK | 44.2300| -76.6000|   93|Kingston, ON                        |CA|MTR
0000071282|CWGL | 44.5300| -79.2200|  221|Lagoon City, ON                     |CA|MTR
0000071154|CWGM | 49.1300|-113.8000| 1296|Waterton Park Gate, AB              |CA|SAO
0000071441|CWGN | 49.0400| -97.5700|  253|Gretna, MB                          |CA|MTR
0000071777|CWGP | 50.3000|-122.7300|  204|Pemberton AP, BC                    |CA|SAO
0000071736|CWGQ | 48.6400| -79.4500|  269|Roquemaure, QC                      |CA|MTR
0000071710|CWGR | 47.3900| -61.8700|   60|Grindstown Island, QC               |CA|MTR
0000071781|CWGT | 49.4900|-124.4400|    3|Sisters Island, BC                  |CA|SAO
0000071690|CWGU | 45.8700| -61.9000|  120|Cape George, NS                     |CA|SAO
0000071782|CWGW | 49.7600|-114.9100| 1138|Sparwood (AUTO), BC                 |CA|SAO
0000000000|CWGX | 56.3700| -94.7000|  145|Gillam (AUTOB), MB                  |CA|MTR
0000071240|CWGY | 51.6700|-110.2000|  707|Esther 1, AB                        |CA|MTR
0000000000|CWGZ | 76.4233| -82.9037|   45|Grise Fiord AP, NU                  |CA|MTR
0000071241|CWHA | 53.4600|-114.4700|  747|Highvale, AB                        |CA|MTR
0000071201|CWHC | 49.3000|-123.1300|    2|Vancouver Harbour, BC               |CA|SAO
0000071239|CWHE | 53.4200|-113.2000|  694|Ellerslie, AB                       |CA|MTR
0000071142|CWHH | 53.0280|-100.9350|  256|Hunters Point, MB                   |CA|MTR
0000071249|CWHI | 51.7700|-113.2200|  857|Three Hills, AB                     |CA|SAO
0000000000|CWHJ | 50.6600|-128.0000|  617|Holberg, BC                         |CA|MTR
0000071440|CWHL | 54.1700|-130.3700|    5|Holland Rock (AUTO8), BC            |CA|SAO
0000071184|CWHM | 45.7200| -73.3800|  192|Varennes, QC                        |CA|MTR
0000000000|CWHN | 54.9300|-109.9700|  636|Jimmy Lake, SK                      |CA|MTR
0000071900|CWHO | 55.4600| -60.2300|   12|Hopeland, NF                        |CA|MTR
0000071423|CWHP | 49.0900| -61.7000|    7|Heath Point, QC                     |CA|MTR
0000071389|CWHQ | 46.6800| -71.9500|   55|Deschambaults, QC                   |CA|SAO
0000071062|CWHS | 68.7900|-114.8400|   65|Bernard Harbour, NU                 |CA|MTR
0000071505|CWHT | 60.7700|-137.5800|  599|Haines Junction, YK                 |CA|SAO
0000000000|CWHU | 48.5900| -57.2400|  290|Star Brook, NF                      |CA|MTR
0000071323|CWHV | 46.2000| -70.7800|  229|Beauceville, QC                     |CA|MTR
0000071193|CWHW | 49.2800| -54.8800|   99|Comfort Cove, NF                    |CA|MTR
0000071618|CWHY | 45.3200| -72.2500|  851|Mont-Orford, QC                     |CA|MTR
0000000000|CWIA | 48.6500| -71.8500|  103|St Henri, QC                        |CA|SAO
0000071074|CWIC | 78.7900|-103.5500|   58|Isachsen (MAPS), NU                 |CA|MTR
0000071087|CWID | 61.3200|-117.6000|  161|Fort Providence, NT                 |CA|MTR
0000071161|CWIE | 64.3900|-115.0200|  478|Indian River, NT                    |CA|MTR
0000000000|CWIF | 50.4300|-128.0300|   21|Quatsino Lgt Stn, BC                |CA|MTR
0000000000|CWIG | 47.0700| -70.5300|   18|Ile Aux Grues, QC                   |CA|SAO
0000071552|CWII | 50.7100| -96.5700|  220|Victoria Beach, MB                  |CA|MTR
0000071496|CWIJ | 65.7700|-111.2400|  500|Lupin (MAPS), NU                    |CA|MTR
0000071861|CWIK | 50.3900|-102.6800|  602|Broadview, SK                       |CA|MTR
0000071084|CWIL | 68.3200|-100.0800|   36|Hat Island, NU                      |CA|MTR
0000071034|CWIN | 48.4000|-123.3000|   23|Trial Island, BC                    |CA|MTR
0000071702|CWIO | 56.7400|-131.6700|   15|Iskut River, BC                     |CA|SAO
0000071390|CWIP | 50.1700| -66.7500|   25|Pointe Noire, QC                    |CA|SAO
0000071124|CWIQ | 54.7600|-110.0500|  702|Primrose Lake, AB                   |CA|MTR
0000000000|CWIR | 48.3800|-123.7500|   32|Victoria Marine, BC                 |CA|SAO
0000071319|CWIS | 47.2800| -70.6300|  719|Charlevoix, QC                      |CA|SAO
0000071614|CWIT | 45.1700| -73.6800|   52|Ste Clothilde, QC                   |CA|SAO
0000000000|CWIU | 48.4900| -71.7900|  103|St Gedeon, QC                       |CA|SAO
0000071511|CWIW | 51.6700|-105.4100|  525|Watrous East, SK                    |CA|SAO
0000071381|CWIX | 48.7700| -71.7200|  113|Mistook, QC                         |CA|SAO
0000000000|CWIY | 47.1600| -67.8400|  241|St Leonard, NB                      |CA|MTR
0000071372|CWIZ | 45.3000| -73.3500|   45|L'Acadie, QC                        |CA|MTR
0000071888|CWJA | 52.8900|-118.0700| 1061|Jasper, AB                          |CA|MTR
0000071392|CWJB | 47.3000| -71.2700|   91|Ste Foy/U Laval, QC                 |CA|SAO
0000071923|CWJC | 61.1400|-100.9100|  357|Ennadai Lake, NU                    |CA|MTR
0000071858|CWJD | 53.1900| -99.2700|  226|Grand Rapids, MB                    |CA|MTR
0000000000|CWJG | 52.2700|-128.4070|   10|Ivory Island, BC                    |CA|MTR
0000071451|CWJH | 56.3400|-103.2900|  343|Southend (AUTOB), SK                |CA|SAO
0000071487|CWJI | 49.7400|-105.9400|  723|Assiniboia AP, SK                   |CA|SAO
0000071497|CWJL | 60.2400|-123.4700|  213|Fort Liard, NT                      |CA|MTR
0000071290|CWJM | 44.7000| -76.3000|  125|Upper Rideau Lake, ON               |CA|MTR
0000071501|CWJN | 69.5700|-138.9200|    1|Herschel Island, YK                 |CA|MTR
0000071617|CWJO | 48.4200| -71.2200|  133|Jonquiere (AUTO), QC                |CA|MTR
0000071770|CWJR | 49.0900|-116.5000|  646|Creston (AUTO8), BC                 |CA|SAO
0000071376|CWJT | 46.0700| -74.5400|  239|St-Joviteb, QC                      |CA|MTR
0000071899|CWJU | 54.2500|-133.0500|   39|Langara, BC                         |CA|SAO
0000071115|CWJV | 50.2400|-119.3000|  556|Vernon (AUTOB), BC                  |CA|SAO
0000071486|CWJW | 52.9400|-118.3200| 1019|Jasper Warden, AB                   |CA|SAO
0000071459|CWJX | 50.9100|-109.5000|  671|Leader AP, SK                       |CA|SAO
0000071507|CWJY | 62.7100| -98.3000|  148|Yathkyed Lake, NU                   |CA|MTR
0000071499|CWJZ | 63.2400|-101.7700|  237|Dubawnt Lake, NU                    |CA|MTR
0000071075|CWKC | 58.1900|-103.6800|  492|Collins Bay, SK                     |CA|MTR
0000071382|CWKD | 50.7300| -71.0200|  497|Bonnard, QC                         |CA|SAO
0000071919|CWKE | 68.4400| -89.7200|  326|Pelly Bay, NU                       |CA|MTR
0000071158|CWKF | 69.6700|-121.6700|  330|Keats Pt, NT                        |CA|SAO
0000071599|CWKG | 44.4300| -65.2000|  165|Kejimkujik, NS                      |CA|MTR
0000071774|CWKH | 48.5900|-123.5900|  275|Malahat (AUTOB), BC                 |CA|MTR
0000000000|CWKI | 54.0500|-128.6800|   13|Kitimat, BC                         |CA|SAO
0000071468|CWKK | 49.7200| -88.3400|  260|Katatota Island, ON                 |CA|MTR
0000071046|CWKM | 69.6200|-140.2000|   13|Komakuk Beach, YK                   |CA|MTR
0000071135|CWKO | 49.1800|-105.9800|  917|Rockglen, SK                        |CA|MTR
0000071058|CWKP | 69.6730|-121.6730|  330|Keats Pt, NT                        |CA|MTR
0000000000|CWKS | 57.2500|-122.7200|  937|Sikanni Chief, BC                   |CA|MTR
0000000000|CWKV | 49.2900|-121.2400|  674|Hope Slide, BC                      |CA|MTR
0000071176|CWKW | 59.9900| -64.1700|  551|Cape Kakkiviak, NF                  |CA|MTR
0000071222|CWKX | 58.4200|-130.0000|  816|Dease Lake, BC                      |CA|SAO
0000071129|CWKY | 51.4800|-109.1700|  683|Kindersley, SK                      |CA|MTR
0000071899|CWLA | 54.2550|-130.0590|   39|Langara, BC                         |CA|MTR
0000071931|CWLB | 54.7683|-112.0204|  566|Lac La Biche AP, AB                 |CA|MTR
0000071220|CWLC | 54.3000|-130.6000|   27|Lucy Is Lgt Hse, BC                 |CA|SAO
0000071455|CWLE | 50.9600|-107.1600|  664|Lucky Lake, SK                      |CA|SAO
0000071846|CWLF | 52.2300| -87.8800|  256|Lansdowne, ON                       |CA|MTR
0000071164|CWLG | 47.8800| -55.8500|    1|Saint Albans, NF                    |CA|MTR
0000071371|CWLH | 45.5000| -73.5200|    7|Saint Lambert, QC                   |CA|MTR
0000071960|CWLI | 69.6000|-130.9100|  102|Liverpool Bay, NT                   |CA|MTR
0000000000|CWLJ | 54.1400|-108.5400|  480|Meadow Lake, SK                     |CA|MTR
0000071200|CWLM | 48.4200|-123.3200|   70|Victoria (AUTO8), BC                |CA|SAO
0000071853|CWLO | 49.7900| -99.6500|  373|Shilo, MB                           |CA|MTR
0000071485|CWLP | 50.9400|-127.6300|   17|Herbert Island, BC                  |CA|SAO
0000000000|CWLQ | 46.3200| -79.4700|  200|North Bay Nipissing, ON             |CA|MTR
0000071631|CWLS | 43.9800| -80.7500|  415|Mount Forest, ON                    |CA|MTR
0000071082|CWLT | 82.5000| -62.3400|   66|Alert, NU                           |CA|MTR
0000000000|CWLU | 46.8300| -71.1700|   20|Lauzon, QC                          |CA|SAO
0000071454|CWLV | 53.9200|-106.0700|  569|Waskesiu Lake, SK                   |CA|MTR
0000071091|CWLX | 68.9100| -75.1600|  162|Longstaff Bluff, NU                 |CA|MTR
0000071812|CWLY | 50.2300|-121.5800|  229|Lytton, BC                          |CA|MTR
0000000000|CWMA | 54.0219|-132.1168|    5|Masset AP, BC                       |CA|MTR
0000000000|CWMD | 76.2300|-119.3200|   12|Mould Bay Camp, NT                  |CA|MTR
0000071482|CWME | 52.1900|-127.4700|   31|Cathedral Point, BC                 |CA|SAO
0000071817|CWMH | 52.3000| -55.8300|    9|Mary'S Habour, NF                   |CA|MTR
0000071719|CWMI | 48.0300| -64.5000|    5|Miscou Island, NB                   |CA|MTR
0000071721|CWMJ | 46.2900| -76.0000|  200|Maniwaki, QC                        |CA|MTR
0000071527|CWMK | 42.8600| -80.2700|  241|Simcoe, ON                          |CA|MTR
0000071775|CWMM | 49.2000|-122.6800|    5|Pitt Meadows, BC                    |CA|SAO
0000071626|CWMN | 43.9800| -80.7500|  415|Mount Forest, ON                    |CA|MTR
0000071453|CWMQ | 49.9100|-109.4700|  766|Maple Creek, SK                     |CA|SAO
0000071204|CWMR | 49.4800|-123.9000|    8|Merry Island, BC                    |CA|MTR
0000071897|CWMS | 52.2800|-128.7200|   25|McInnes Island, BC                  |CA|MTR
0000071163|CWMT | 63.1100|-117.2500|  271|Lac La Martre, NT                   |CA|MTR
0000071722|CWMW | 46.3900| -75.9600|  170|Maniwaki, QC                        |CA|MTR
0000071255|CWMX | 57.5400|-111.5700|  310|Mildred Lake, AB                    |CA|MTR
0000071438|CWMZ | 45.0400| -80.3600|  191|Western Island, ON                  |CA|MTR
0000000000|CWNA | 49.1700|-123.9300|    5|Nanaimo Harbour, BC                 |CA|SAO
0000071466|CWNB | 41.8400| -82.4700|  195|S.E. SHOAL, ON                      |CA|MTR
0000071431|CWNC | 43.9600| -78.1700|   77|Cobourg, ON                         |CA|SAO
0000071502|CWND | 69.6400|-135.4400|   31|Pelly Island, YK                    |CA|MTR
0000071987|CWNE | 47.0900| -64.0000|   15|North Point, PE                     |CA|MTR
0000071715|CWNH | 47.8000| -69.5500|  148|Riviere du Loup, QC                 |CA|MTR
0000000000|CWNI | 69.6200|-135.3300|   10|Nipterk Base, NT                    |CA|MTR
0000000000|CWNJ | 54.5700|-130.7000|   12|Green Island, BC                    |CA|SAO
0000071147|CWNK | 49.5000| -98.0300|  268|Carman Univ of Manitoba, MB         |CA|SAO
0000071462|CWNL | 45.6400| -82.9700|  183|Great Duck Island, ON               |CA|MTR
0000071776|CWNM | 49.5100|-117.3000|  535|Nelson (AUTO8), BC                  |CA|SAO
0000071216|CWNP | 50.2700|-117.8200|  512|Nakusp (AUTOB), BC                  |CA|SAO
0000071723|CWNQ | 46.2200| -72.6500|    8|Nicolet, QC                         |CA|SAO
0000071245|CWNR | 50.9600|-115.1900| 1914|Nakiska Ridgetop, AB                |CA|MTR
