# Release OB9.11
#
#  productButtonInfo.txt
#
#  This table describes product buttons. A product button, when 
#  pressed, loads a depict key that matches the current scale.
#
#  Each product button key must be unique. List it in the first column.
#
#  Each product button maps to a depict key indexed by scale. It is
#  assumed by default that the user is providing a list of depict keys
#  for each scale, starting with scale 0. If all that is provided is
#  plain depict keys, the last key provided will be repeated if fewer
#  keys are provided than there are scales.  Exception: A tag "^1" means
#  to keep adding keys until all scales are filled, incrementing by one
#  for each scale. Similarly, "v1" means the same, but decrement.
#
#  The user may change this default interpretation of key lists by
#  providing fields that begin with a less than (<) or greater than (>)
#  symbol. Numbers that follow these symbols are assumed to be distances
#  in km if they contain a decimal point or are larger than twice the
#  number of scales; otherwise they are assumed to be scale indices. A
#  scale index of -1 means the last scale, -2 the second to last, etc.
#  A < precedes the minimum distance or the first scale index to
#  associate with a depict key. A > precedes the maximum distance or the
#  last scale index to use.
#
#  A key that immediately follows one or more distances is assigned to
#  all scales having sizes between the maximum and minimum distances.
#  These default to 1e37 and 0, respectively, so it is meaningful to
#  just provide one distance. This leaves the scale index set to the
#  next scale after the last one assigned in this manner. A key that
#  immediately follows one or more scale indices will be assigned to
#  that range of scale indices. The last scale index defaults to 0 and
#  the first scale index defaults to whichever scale would normally be
#  assigned next. A key will always at a minimum be assigned to the first
#  scale index.
#
#  Mixing scale indices and distances between depict keys is not
#  recommended as the result is not well defined.
#
#  For example, if there are 5 scales, and a product button has depict
#  keys (101, 101, 101), then we assume that the fourth and fifth
#  scales are also 101.  If a product button has depict keys (101,
#  105, 109), then we assume the fourth and fifth are 0 and 0.
#
#  Also, if a product button should be disabled at a certain scale,
#  list a zero for the depict key.
#
#  List the button label in the third column. List the toggle menu
#  label (which currently isn't used) in the fourth column. (Labels for
#  plots and history list are found in depictInfo.)
#
#  Finally, put a `y', `Y', or a `1' in the fifth column if this is a
#  static entry.  A static entry is one that appears with no green
#  time in the menus.  Nonstatic entries have green times that get
#  registered for auto-updates with the notification server.
#
#
# ProdBtn |  Sequence of depict keys, one    |    Button                  |                           |
#   Key   |  for each scale key              |    label                   |      toggle menu label    | static
 10603    |   <9000, 10603    | Ceiling/Visibility  | NAM Sndg Ceiling and Vis Plot | 0
 10604    |   <9000, 10604    | Cloud Layers | GFS Sndg Ceiling Plot | 0
 10611    |   <9000, 10611    | Sounding Availability | NAM Sndg Avail | 0
 10612    |   <9000, 10612    | Sounding Availability | GFS Sndg Avail | 0
 10615    |   <9000, 10615    | GOES Sounding Availability | GOES Sndg Avail | 0
 10616    |   <9000, 10616    | POES Sounding Availability | POES Sndg Avail | 0
 10621    |   <9000, 10621    | 1-Hr Precip Amt | NAM Sndg Prcp Plot | 0
 10622    |   <9000, 10622    | 3-Hr Precip Amt | GFS Sndg Prcp Plot | 0
 27871    |   27871                 |Low Level     |Pirep 000-180 | 0
 27872    |   27872                 |Mid Level     |Pirep 180-260 | 0
 27873    |   27873                 |Hi Level      |Pirep 260-500 | 0
 27874    |   27874                 |Low Level     |Pirep Icing 000-180 | 0
 27875    |   27875                 |Mid Level     |Pirep Icing 180-260 | 0
 27876    |   27876                 |Hi Level      |Pirep Icing 260-500 | 0
 27877    |   27877                 |Low Level     |Pirep Turb 000-180 | 0
 27878    |   27878                 |Mid Level     |Pirep Turb 180-260 | 0
 27879    |   27879                 |Hi Level      |Pirep Turb 260-500 | 0
 27881    |   27881                          |000-050 hft   |MDCRS 000-050  | 0
 27882    |   27882                          |050-100 hft   |MDCRS 050-100  | 0
 27883    |   27883                          |100-150 hft   |MDCRS 100-150  | 0
 27884    |   27884                          |150-200 hft   |MDCRS 150-200  | 0
 27885    |   27885                          |200-250 hft   |MDCRS 200-250  | 0
 27886    |   27886                          |250-300 hft   |MDCRS 250-300  | 0
 27887    |   27887                          |300-350 hft   |MDCRS 300-350  | 0
 27888    |   27888                          |350-400 hft   |MDCRS 350-400  | 0
 27889    |   27889                          |400-450 hft   |MDCRS 400-450  | 0
 27890    |   27890                          |450-500 hft   |MDCRS 450-500  | 0
 27891    |   27891                          |All Levels    |MDCRS All      | 0
 27893    |   27893                          |1Hr Prof Avail    |MDCRS 1Hr Avail  | 0
 27894    |   27894                          |6Hr Prof Avail    |MDCRS 6Hr Avail  | 0
 62000    | 0, 62000                         |2 Hour Combined   |2 Hour Combined  | 0
 62009    | 0, 62009                         |2 Hour            |2 Hour           | 0
 62010    | 0, 62010                         |4 Hour Combined   |4 Hour Combined  | 0
 62019    | 0, 62019                         |4 Hour            |4 Hour           | 0
 62020    | 0, 62020                         |6 Hour Combined   |6 Hour Combined  | 0
 62029    | 0, 62029                         |6 Hour            |6 Hour           | 0
 62030    | 0, 62030                         |8 Hour Combined   |8 Hour Combined  | 0
 62039    | 0, 62039                         |8 Hour            |8 Hour           | 0
 6001     | 0, 6001                          |SIGMET            |Volcanic Ash     | 0
 6002     | 0, 6002                          |SIGMET            |Tropical Cyclone | 0
 6003     | 0, 6003                          |SIGMET            |Icing            | 0
 6004     | 0, 6004                          |SIGMET            |Turbulence       | 0
 6005     | 0, 6005                          |AIRMET            |Icing            | 0
 6007     | 0, 6007                          |AIRMET            |Turbulence AIRMET| 0
 6013     | 0, 6013                          |IFR               |IFR AIRMET       | 0
 6015     | 0, 6015                          |Mtn Obscn         |Mtn Obscn AIRMET | 0
 6179     | 0, 6179                          |Convective SIGMET |Convective SIGMET| 0
 6111     |   <14000,   6111                 |SPC Watches                 |SPC Watches                | 0
 6120     |   <1200,   61210                 |Local CWA Warnings          |Local Warnings             | 0
 61200    |   <3000,   61220                 |Local & Regional Warnings   |Loc/Reg Warnings           | 0
 6310     |   <1200,   61410                 |Local CWA Flood Warnings    |Local Flood Warnings       | 0
 61281    |   <3000,   61420                 |Local & Regional Flood Warnings |Loc/Reg Flood Warnings | 0
 61300    |   <1200,   61300                 |All Local Warnings          |All Local Warnings         | 0
 61310    |   <3000,   61310                 |All Regional Warnings       |All Regional Warnings      | 0
 65000    | 0, 65000                         |Center Weather Advisories   |Center Weather Advisories  | 0
 65001    | 65001                            |AK Center Weather Advisories|AK Center Weather Advisories | 0
 65300    | 65300                            |Volcanic Ash Advisories     |Volcanic Ash Advisories    | 0
 6770     |   <3000,   6770                  |Marine Warnings             |SMW Warnings               | 0
 6150     |   <3000,   6150                  |County FFG                  |County FFG                 | 0
 6170     |   <3000,   6170                  |Zone FFG                    |Zone FFG                   | 0
 6905     |   <1000,   6905                  |Coop Precip                 |Coop Precip                | 0
 6400     |   <14000,  6400                  |Svr Wx Plot                 |Svr Wx Plot                | 0
 6431     |   6431                           |Atlantic                    |AT Hur Tracks              | 0
 6436     |   6436                           |E Pacific                   |EP Hur Tracks              | 0
 6441     |   6441                           |W Pacific                   |WP Hur Tracks              | 0
 6600     |   <14000,  6600                  |Local                       |Local Lsr Plot             | 0
 6625     |   <14000,  6625                  |Region                      |Region Lsr Plot            | 0
 643100   |643100                     |AT1                          |AT1 TCM 1hr step   |0
 643200   |643200                     |AT2                          |AT2 TCM 1hr step   |0
 643300   |643300                     |AT3                          |AT3 TCM 1hr step   |0
 643400   |643400                     |AT4                          |AT4 TCM 1hr step   |0
 643500   |643500                     |AT5                          |AT5 TCM 1hr step   |0
 643600   |643600                     |EP1                          |EP1 TCM 1hr step   |0
 643700   |643700                     |EP2                          |EP2 TCM 1hr step   |0
 643800   |643800                     |EP3                          |EP3 TCM 1hr step   |0
 643900   |643900                     |EP4                          |EP4 TCM 1hr step   |0
 644000   |644000                     |EP5                          |EP5 TCM 1hr step   |0
 644100   |644100                     |CP1                          |CP1 TCM 1hr step   |0
 644200   |644200                     |CP2                          |CP2 TCM 1hr step   |0
 644300   |644300                     |CP3                          |CP3 TCM 1hr step   |0
 644400   |644400                     |CP4                          |CP4 TCM 1hr step   |0
 644500   |644500                     |CP5                          |CP5 TCM 1hr step   |0
 644600   |644600                     |WP1                          |WP1 TCP 1hr step   |0
 644700   |644700                     |WP2                          |WP2 TCP 1hr step   |0
 644800   |644800                     |WP3                          |WP3 TCP 1hr step   |0
 644900   |644900                     |WP4                          |WP4 TCP 1hr step   |0
 645000   |645000                     |WP5                          |WP5 TCP 1hr step   |0
// 6451     |6451                       |BAMD model                  |BAMD model         |0
// 6461     |6461                       |BAMM model                  |BAMM model         |0
// 6471     |6471                       |AE90 model                  |AE90 model         |0
// 6481     |6481                       |LBAR model                  |LBAR model         |0
 6487     |6487                       |CHGHUR guidance             |CHGHUR guidance    |0
 6501     |6501                       |CHGQLM guidance             |CHGQLM guidance    |0
 6515     |6515                       |Atlantic                    |Atlantic Hur Pos Upd |0
 6520     |6520                       |E Pacific                   |E Pacific Hur Pos Upd |0
 6523     |6523                       |W Pacific                   |W Pacific Hur Pos Upd |0
 6525     |6525                       |C Pacific                   |C Pacific Hur Pos Upd |0
 8005     |   8005                           |5min Lgtng Plot             |5 Minute Lightning Plot    | 0
 8015     |   8015                           |15min Lgtng Plot            |15 Minute Lightning Plot   | 0
 8018     |   8018                           |15min Pos/Neg Lgtng Plot    |15 Minute Pos/Neg Lightning Plot| 0
 8060     |   8060                           |1hr Lgtng Plot              |1 Hour Lightning Plot      | 0
 8100     |   8100                           |1min Lgtng Seq              |1 Min Lightning Seq        | 0
 8505     |   8505                           |5min Txt Lgtng Plt          |5 Minute Txt Lightning Plot  | 0
 8515     |   8515                           |15min Txt Lgtng Plt         |15 Minute Txt Lightning Plot | 0
 8518     |   8518                           |15min Pos/Neg Txt Lgtng Plt |15 Minute Pos/Neg Text Lightning Plot| 0
 8560     |   8560                           |1hr Txt Lgtng Plt           |1 Hour Txt Lightning Plot  | 0
 8600     |   8600                           |1min Txt Lgtng Seq          |1 Min Txt Lightning Seq    | 0
10020     |  10020                           |High Level                  |High Level                 | 0
10030     |  10030                           |Medium Level                |Medium Level               | 0
11002     |  11002                           |McCook NE (RWDN1)           |RWDN1 Prof                 | 0
11003     |  11003                           |Lathrop MO (LTHM7)          |LTHM7 Prof                 | 0
11004     |  11004                           |Tucumcari NM (TCUN5)        |TCUN5 Prof                 | 0
11005     |  11005                           |Haskell OK (HKLO2)          |HKLO2 Prof                 | 0
11006     |  11006                           |Winfield LA (WNFL1)         |WNFL1 Prof                 | 0
11007     |  11007                           |Vandenberg CA (VBGC1)       |VBGC1 Prof                 | 0
11008     |  11008                           |Platteville CO (PLTC2)      |PLTC2 Prof                 | 0
11009     |  11009                           |Neligh NE (NLGN1)           |NLGN1 Prof                 | 0
11010     |  11010                           |Blue River WI (BLRW3)       |BLRW3 Prof                 | 0
11011     |  11011                           |Haviland KS (HVLK1)         |HVLK1 Prof                 | 0
11012     |  11012                           |Hillsboro KS (HBRK1)        |HBRK1 Prof                 | 0
11013     |  11013                           |Bloomfield MO (BLMM7)       |BLMM7 Prof                 | 0
11014     |  11014                           |DeQueen AR (DQUA4)          |DQUA4 Prof                 | 0
11015     |  11015                           |Jayton TX (JTNT2)           |JTNT2 Prof                 | 0
11016     |  11016                           |Medicine Bow WY (MBWW4)     |MBWW4 Prof                 | 0
11017     |  11017                           |Wood Lake MN (WDLM5)        |WDLM5 Prof                 | 0
11018     |  11018                           |Fairbury NE (FBYN1)         |FBYN1 Prof                 | 0
11019     |  11019                           |Granada CO (GDAC2)          |GDAC2 Prof                 | 0
11020     |  11020                           |Lamont OK (LMNO2)           |LMNO2 Prof                 | 0
11021     |  11021                           |Purcell OK (PRCO2)          |PRCO2 Prof                 | 0
11022     |  11022                           |White Sands NM (WSMN5)      |WSMN5 Prof                 | 0
11023     |  11023                           |Conway MO (CNWM7)           |CNWM7 Prof                 | 0
11024     |  11024                           |Merriman NE (MRRN1)         |MRRN1 Prof                 | 0
11025     |  11025                           |Slater IA (SLAI4)           |SLAI4 Prof                 | 0
11026     |  11026                           |Winchester IL (WNCI2)       |WNCI2 Prof                 | 0
11027     |  11027                           |Aztec NM (AZCN5)            |AZCN5 Prof                 | 0
11028     |  11028                           |Vici OK (VCIO2)             |VCIO2 Prof                 | 0
11029     |  11029                           |Neodesha KS (NDSK1)         |NDSK1 Prof                 | 0
11030     |  11030                           |Palestine TX (PATT2)        |PATT2 Prof                 | 0
11031     |  11031                           |Okolona MS (OKOM6)          |OKOM6 Prof                 | 0
11035     |  11035                           |Central AK (CENA2)          |CENA2 Prof                 | 0
11036     |  11036                           |Glennallen AK (GNAA2)       |GNAA2 Prof                 | 0
11037     |  11037                           |Talkeetna AK (TLKA2)        |TLKA2 Prof                 | 0
11038     |  11038                           |Wolcott IN  (WLCI3)         |WLCI3 Prof                 | 0
11039     |  11039                           |Syracuse NY (SYCN6)         |SYCN6 Prof                 | 0
11040     |  11040                           |Ledbetter TX (LDBT2)        |LDBT2 Prof                 | 0
11102     |  11102                           |Buster Jangle Yankee NV (BJYNV)        |BJYNV Prof      | 0
11103     |  11103                           |Beaumont KS (BMTKS)                    |BMTKS Prof      | 0
11104     |  11104                           |Concord NH (CCDNH)                     |CCDNH Prof      | 0
11105     |  11105                           |Chowchilla CA (CCLCA)                  |CCLCA Prof      | 0
11106     |  11106                           |Chico CA (CCOCA)                       |CCOCA Prof      | 0
11107     |  11107                           |Charlotte NC (CHANC)                   |CHANC Prof      | 0
11108     |  11108                           |Cleburne TX (CLETX)                    |CLETX Prof      | 0
