PAMC ANC
PANC ANC
PANT JNU
PAOM FAI
PAOT FAI
PASN ANC
PAUN FAI
PAVD ANC
PAVW ANC
PAWU ANC
PAYA JNU
PGUM GUM
PHEB HFO
PHFO HFO
PHLI HFO
PHNL HFO
PHTO HFO
PKMR GUM
PNSB FAI
PTKK GUM
PTKR GUM
PTSA GUM
PTTP GUM
PTYA GUM
PWCZ FAI
TIST SJU
TISX SJU
TJBQ SJU
TJMZ SJU
TJNR SJU
TJPS SJU
TJSJ SJU
TSPN SJU
