! GRIB2  - NCEP Local Parameter Table
!
! temperature
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 001 195 001 Categorical snow                 0,1                  WXTS             0  -9999.00
000 001 195 002 Categorical snow                 0,1                  WXTS             0  -9999.00
000 001 195 005 Categorical snow                 0,1                  WXTS             0  -9999.00
000 001 195 008 Categorical snow                 0,1                  WXTS             0  -9999.00
000 001 195 011 Categorical snow                 0,1                  WXTS             0  -9999.00
000 001 195 012 Categorical snow                 0,1                  WXTS             0  -9999.00
000 001 196 000 Convective precip rate           kg m**-2 s**-1       CPR--            0  -9999.00
000 001 196 008 Convective precip rate           kg m**-2 s**-1       CPR--            0  -9999.00
000 001 196 011 Convective precip rate           kg m**-2 s**-1       CPR--            0  -9999.00
000 001 197 000 Horizontal moisture divergence   kg kg**-1 s**-1      MCNV             0  -9999.00
000 001 198 000 Minimum Relative Humidity        %                    RHMN             0  -9999.00
000 001 198 008 Minimum Relative Humidity        %                    RHMN             0  -9999.00
000 001 199 000 Potential evaporation            kg m**-2             PEVAP            0  -9999.00
000 001 199 008 Potential evaporation            kg m**-2             PEVAP            0  -9999.00
000 001 200 000 Potential evaporation rate       W/m**2               PEVP             0  -9999.00
000 001 200 001 Potential evaporation rate       W/m**2               PEVP             0  -9999.00
000 001 200 008 Potential evaporation rate       W/m**2               PEVP             0  -9999.00
000 001 201 000 Snow cover                       %                    SCVR             0  -9999.00
000 001 202 000 Rain frctn of total liquid wtr   -                    FRAIN            0  -9999.00
000 001 203 000 Rime factor                      -                    FRIME            0  -9999.00
000 001 204 000 Total column-integrated rain     kg/m**2              TCOLR            0  -9999.00
000 001 205 000 Total column-integrated snow     kg/m**2              TCOLS            0  -9999.00
000 001 206 000 Total Icing Potential Diagnostic non-dim              TIPD             0  -9999.00
000 001 206 005 Total Icing Potential Diagnostic non-dim              TIPD             0  -9999.00
000 001 207 000 Number conc. for ice particles   non-dim              NCIP             0  -9999.00
000 001 208 000 Snow temperature                 K                    SNOT             0  -9999.00
000 001 209 000 Total column-int supercooled H2O kg m**-2             TCLSW            0  -9999.00
000 001 210 000 Total column-int melting ice     kg m**-2             TCOLM            0  -9999.00
000 001 220 000 Minimum specific humidity at 2m  kg kg-1              QMIN             0  -9999.00
000 001 225 009 Freezing Rain                    kg m**-2             FRZL             0  -9999.00
000 001 225 010 Freezing Rain                    kg m**-2             FRZL             0  -9999.00
000 001 225 012 Freezing Rain                    kg m**-2             FRZL             0  -9999.00
000 001 226 000 Pblackominant Weather            -                    PWTHER           0  -9999.00
000 001 228 008 Flat Ice Accumulation (FRAM)     kg m**-2             FICEAC           0  -9999.00
000 001 228 010 Flat Ice Accumulation (FRAM)     kg m**-2             FICEAC           0  -9999.00
000 001 231 008 Precipitation Potential Index    %                    PPINDX           0  -9999.00
000 001 232 005 Probability Cloud Ice Present    %                    PROBCIP          0  -9999.00
000 001 233 000 Snow Liquid ratio                kg kg-1              SNOWLR           0  -9999.00
000 001 234 008 Precipitation Duration           hr                   PCPDUR           0  -9999.00
000 001 242 005 Rel. Hum. wrt Precip. Water      %                    RHPW             0  -9999.00
000 001 243 008 Reserved                         ?                    ????             0  -9999.00
!
! momentum
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 002 000 000 Wind Direction (from)            deg true             WDIR             0  -9999.00
000 002 001 000 Wind Speed                       m s**-1              WDIR             0  -9999.00
000 002 001 002 Wind Speed                       m s**-1              WDIR             0  -9999.00
000 002 001 005 Wind Speed                       m s**-1              WDIR             0  -9999.00
000 002 001 008 Wind Speed                       m s**-1              WDIR             0  -9999.00
000 002 001 009 Wind Speed                       m s**-1              WDIR             0  -9999.00
000 002 002 000 U-Component of Wind              m s**-1              UGRD             0  -9999.00
000 002 002 002 U-Component of Wind              m s**-1              UGRD             0  -9999.00
000 002 003 000 V-Component of Wind              m s**-1              VGRD             0  -9999.00
000 002 003 002 V-Component of Wind              m s**-1              VGRD             0  -9999.00
000 002 008 000 Vertical Velocity (Pressure)     Pa s**-1             VVEL             0  -9999.00
000 002 008 002 Vertical Velocity (Pressure)     Pa s**-1             VVEL             0  -9999.00
000 002 009 000 Vertical Velocity (Geometric)    m s**-1              DZDT             0  -9999.00
000 002 009 008 Vertical Velocity (Geometric)    m s**-1              DZDT             0  -9999.00
000 002 010 000 Absolute Vorticity               s**-1                ABSV             0  -9999.00
000 002 015 000 Vertical U-Component Shear       s**-1                VUCSH            0  -9999.00
000 002 016 000 Vertical V-Component Shear       s**-1                VVCSH            0  -9999.00
000 002 022 000 Wind Speed (Gust)                m s**-1              GUST             0  -9999.00
!
000 002 027 000 U-Component Storm Motion         m s**-1              USTM             0  -9999.00
000 002 028 000 V-Component Storm Motion         m s**-1              VSTM             0  -9999.00
!
000 002 192 000 Vertical speed shear             s**-1                VWSH             0  -9999.00
000 002 192 001 Vertical speed shear             s**-1                VWSH             0  -9999.00
000 002 192 002 Vertical speed shear             s**-1                VWSH             0  -9999.00
000 002 192 005 Vertical speed shear             s**-1                VWSH             0  -9999.00
000 002 193 000 Momentum flux                    N m**-2              MFLX             0  -9999.00
000 002 194 000 U-component of storm motion      m/s                  USTRM            0  -9999.00
000 002 195 000 V-component of storm motion      m/s                  VSTRM            0  -9999.00
000 002 196 000 Drag coefficient                 -                    DRAG             0  -9999.00
000 002 197 000 Friction velocity                m s**-1              FRCV             0  -9999.00
000 002 198 000 Lat of U Wind Comp. of Velocity  deg                  LAUV             0  -9999.00
000 002 198 009 Lat of U Wind Comp. of Velocity  deg                  LAUV             0  -9999.00
000 002 199 000 Lon of U Wind Comp. of Velocity  deg                  LOUV             0  -9999.00
000 002 199 009 Lon of U Wind Comp. of Velocity  deg                  LOUV             0  -9999.00
000 002 200 000 Lat of V Wind Comp. of Velocity  deg                  LAVV             0  -9999.00
000 002 200 009 Lat of V Wind Comp. of Velocity  deg                  LAVV             0  -9999.00
000 002 201 000 Lon of V Wind Comp. of Velocity  deg                  LOVV             0  -9999.00
000 002 201 009 Lon of V Wind Comp. of Velocity  deg                  LOVV             0  -9999.00
000 002 202 000 Lat of Pressure Point            deg                  LAPP             0  -9999.00
000 002 202 009 Lat of Pressure Point            deg                  LAPP             0  -9999.00
000 002 203 000 Lon of Pressure Point            deg                  LOPP             0  -9999.00
000 002 203 009 Lon of Pressure Point            deg                  LOPP             0  -9999.00
000 002 204 000 Vertical Eddy Diff. Heat exch.   m**2 s**-1           VEDH             0  -9999.00
000 002 204 009 Vertical Eddy Diff. Heat exch.   m**2 s**-1           VEDH             0  -9999.00
000 002 220 000 Hrly Max up VV in lowest 400hPa  m s**-1              MAXUVV           0  -9999.00
000 002 220 005 Hrly Max up VV in lowest 400hPa  m s**-1              MAXUVV           0  -9999.00
000 002 220 008 Hrly Max up VV in lowest 400hPa  m s**-1              MAXUVV           0  -9999.00
000 002 221 000 Hrly Max down VV in low. 400hPa  m s**-1              MAXDVV           0  -9999.00
000 002 221 008 Hrly Max down VV in low. 400hPa  m s**-1              MAXDVV           0  -9999.00
000 002 222 000 U Comp Hrly Max 10m Wind Speed   m s**-1              MAXUW            0  -9999.00
000 002 222 008 U Comp Hrly Max 10m Wind Speed   m s**-1              MAXUW            0  -9999.00
000 002 223 000 V Comp Hrly Max 10m Wind Speed   m s**-1              MAXVW            0  -9999.00
000 002 223 008 V Comp Hrly Max 10m Wind Speed   m s**-1              MAXVW            0  -9999.00
000 002 224 000 Ventilation Rate                 m**2 s**-1           VRATE            0  -9999.00
000 002 224 009 Ventilation Rate                 m**2 s**-1           VRATE            0  -9999.00
000 002 225 000 Transport Wind Speed             m s-1                TRWSPD           0  -9999.00
000 002 226 000 Transport Wind Direction         Deg                  TRWDIR           0  -9999.00
000 002 231 000 Tropical Wind Direction          Deg                  TPWDIR           0  -9999.00
000 002 232 000 Tropical Wind Speed              m s-1                TPWSPD           0  -9999.00
!
! mass
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 003 000 000 Pressure                         Pa                   PRES             0  -9999.00
000 003 000 008 Pressure                         Pa                   PRES             0  -9999.00
000 003 001 000 Pressure Reduced to MSL          Pa                   PRMSL            0  -9999.00
000 003 001 002 Pressure Reduced to MSL          Pa                   PRMSL            0  -9999.00
000 003 005 000 Geopotential Height              gpm                  HGT              0  -9999.00
000 003 005 002 Geopotential Height              gpm                  HGT              0  -9999.00
000 003 005 005 Geopotential Height              gpm                  HGT              0  -9999.00
000 003 006 000 Geometric Height                 m                    DIST             0  -9999.00
!
000 003 018 000 Planetary Boundary Layer Height  m                    HPBL             0  -9999.00
!
000 003 192 000 MSLP (ETA reduction)             Pa                   EMSL            -2  -9999.00
000 003 192 002 MSLP (ETA reduction)             Pa                   EMSL            -2  -9999.00
000 003 193 000 5-wave geopotential height       gpm                  HGHT5            0  -9999.00
000 003 194 000 Zonal flux of gravity wav stress N/m**2               UGWD             0  -9999.00
000 003 194 008 Zonal flux of gravity wav stress N/m**2               UGWD             0  -9999.00
000 003 194 011 Zonal flux of gravity wav stress N/m**2               UGWD             0  -9999.00
000 003 195 000 Meridional flux of grav wv strss N/m**2               VGWD             0  -9999.00
000 003 195 008 Meridional flux of grav wv strss N/m**2               VGWD             0  -9999.00
000 003 195 011 Meridional flux of grav wv strss N/m**2               VGWD             0  -9999.00
000 003 196 000 Planetary boundary layer hght    m                    ZPBL             0  -9999.00
000 003 196 001 Planetary boundary layer hght    m                    ZPBL             0  -9999.00
000 003 196 002 Planetary boundary layer hght    m                    ZPBL             0  -9999.00
000 003 197 000 5-wave geopotention hght anomaly gpm                  WAVA5            0  -9999.00
000 003 198 000 MSLP (MAPS System Reduction)     Pa                   MMSL            -2  -9999.00
000 003 199 000 3-hr press. (Std. Atmos. Reduct) Pa s**-1             PTND            -2  -9999.00
000 003 200 000 Press parcel was lifted from     Pa                   PLPL            -2  -9999.00
!
! short-wave radiation
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 004 192 000 Downward short wave rad flux     W m**-2              SWRD             0  -9999.00
000 004 192 002 Downward short wave rad flux     W m**-2              SWRD             0  -9999.00
000 004 192 008 Downward short wave rad flux     W m**-2              SWRD             0  -9999.00
000 004 192 011 Downward short wave rad flux     W m**-2              SWRD             0  -9999.00
000 004 192 012 Downward short wave rad flux     W m**-2              SWRD             0  -9999.00
000 004 193 000 Upward short wave rad flux       W m**-2              SWRU             0  -9999.00
000 004 193 008 Upward short wave rad flux       W m**-2              SWRU             0  -9999.00
000 004 193 011 Upward short wave rad flux       W m**-2              SWRU             0  -9999.00
000 004 193 012 Upward short wave rad flux       W m**-2              SWRU             0  -9999.00
000 004 194 000 UV-B downward solar rad flux     W m**-2              DUVB             0  -9999.00
000 004 195 000 Clear sky UV-B downward sol. flx W m**-2              CDUVB            0  -9999.00
000 004 196 000 Clear Sky Downward Solar Flux    W m**-2              CSDSF            0  -9999.00
000 004 197 000 Solar Radiative Heaging Rate     K s**-1              SWHR             0  -9999.00
!
! long-wave radiation
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 005 192 000 Downward long wave rad flux      W m**-2              LWRD             0  -9999.00
000 005 192 008 Downward long wave rad flux      W m**-2              LWRD             0  -9999.00
000 005 192 011 Downward long wave rad flux      W m**-2              LWRD             0  -9999.00
000 005 192 012 Downward long wave rad flux      W m**-2              LWRD             0  -9999.00
000 005 193 000 Upward long wave rad flux        W m**-2              LWRU             0  -9999.00
000 005 193 008 Upward long wave rad flux        W m**-2              LWRU             0  -9999.00
000 005 193 011 Upward long wave rad flux        W m**-2              LWRU             0  -9999.00
000 005 193 012 Upward long wave rad flux        W m**-2              LWRU             0  -9999.00
000 005 194 000 Long Wave Radiative Heating Rate K s**-1              LWHR             0  -9999.00
000 005 194 008 Long Wave Radiative Heating Rate K s**-1              LWHR             0  -9999.00
!
! cloud
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 006 000 000 Cloud Ice                        kg m**-2             CICE             0  -9999.00
000 006 001 000 Total Cloud Cover                %                    TCDC             0  -9999.00
000 006 001 002 Total Cloud Cover                %                    TCDC             0  -9999.00
000 006 002 000 Convective Cloud Cover           %                    CDCON            0  -9999.00
000 006 003 000 Low Cloud Cover                  %                    LCDC             0  -9999.00
000 006 003 002 Low Cloud Cover                  %                    LCDC             0  -9999.00
000 006 004 000 Medium Cloud Cover               %                    MCDC             0  -9999.00
000 006 004 002 Medium Cloud Cover               %                    MCDC             0  -9999.00
000 006 005 000 High Cloud Cover                 %                    HCDC             0  -9999.00
000 006 005 002 High Cloud Cover                 %                    HCDC             0  -9999.00
000 006 006 000 Cloud Water                      kg m**-2             CWAT             0  -9999.00
000 006 007 000 Cloud Amount                     %                    CDCA             0  -9999.00
000 006 008 000 Cloud Type                       code table           CDCT             0  -9999.00
000 006 009 000 Thunderstorm Maximum Tops        m                    TMAXT            0  -9999.00
000 006 010 000 Thunderstorm Coverage            code table           THUNC            0  -9999.00
000 006 011 000 Cloud Base                       m                    CDCB             0  -9999.00
000 006 012 000 Cloud Top                        m                    CDCT             0  -9999.00
000 006 013 000 Ceiling                          m                    CEIL             0  -9999.00
!
000 006 192 000 Amt of non-convective cloud      %                    CLDA             0  -9999.00
000 006 192 008 Amt of non-convective cloud      %                    CLDA             0  -9999.00
000 006 193 000 Cloud work function              J/kg                 CWRK             0  -9999.00
000 006 193 008 Cloud work function              J/kg                 CWRK             0  -9999.00
000 006 193 011 Cloud work function              J/kg                 CWRK             0  -9999.00
000 006 194 000 Convective cloud efficiency      -                    CUEFI            0  -9999.00
000 006 195 000 Total condensate                 kg/kg                TCOND            0  -9999.00
000 006 196 000 Total column-integratd cloud wtr kg/m**2              TCOLW            0  -9999.00
000 006 197 000 Total column-integratd cloud ice kg/m**2              TCOLI            0  -9999.00
000 006 198 000 Total column-integrated condens  kg/m**2              TCOLC            0  -9999.00
000 006 199 000 Ice fraction of total condensate -                    FICE             0  -9999.00
000 006 200 000 Convective Cloud Mass Flux       Pa s-1               MFLUX            0  -9999.00
000 006 201 000 SunShine Duration                s                    SUNSD            0  -9999.00
000 006 201 001 SunShine Duration                s                    SUNSD            0  -9999.00
!
! thermodynamic stability indices 
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 007 000 000 Parcel Lifted Index (to 500 hPa) K                    PLI              0  -9999.00
000 007 000 005 Parcel Lifted Index (to 500 hPa) K                    PLI              0  -9999.00
000 007 001 000 Best Lifted Index (to 500 hPa)   K                    BLI              0  -9999.00
000 007 001 005 Best Lifted Index (to 500 hPa)   K                    BLI              0  -9999.00
000 007 002 000 K Index                          K                    KX               0  -9999.00
000 007 003 000 KO Index                         K                    KOX              0  -9999.00
000 007 004 000 Total Totals Index               K                    TOTALX           0  -9999.00
000 007 005 000 Sweat Index                      Numeric              SX               0  -9999.00
000 007 006 000 Convective Available Pot Energy  J kg**-1             CAPE             0  -9999.00
000 007 006 002 Convective Available Pot Energy  J kg**-1             CAPE             0  -9999.00
000 007 006 005 Convective Available Pot Energy  J kg**-1             CAPE             0  -9999.00
000 007 007 000 Convective Inhibition            J kg**-1             CIN              0  -9999.00
000 007 007 002 Convective Inhibition            J kg**-1             CIN              0  -9999.00
000 007 007 005 Convective Inhibition            J kg**-1             CIN              0  -9999.00
000 007 008 000 Storm Relative Helicity          m**2 s**-2           HLCY             0  -9999.00
000 007 008 002 Storm Relative Helicity          m**2 s**-2           HLCY             0  -9999.00
000 007 008 005 Storm Relative Helicity          m**2 s**-2           HLCY             0  -9999.00
000 007 009 000 Energy Helicity Index            Numeric              EHLX             0  -9999.00
000 007 010 000 Surface lifted index             K                    LFTX             0  -9999.00
000 007 011 000 Best (4 layer) Lifted Index      K                    4LFTX            0  -9999.00
!
000 007 192 000 Surface lifted index             K                    LIFT             0  -9999.00
000 007 192 001 Surface lifted index             K                    LIFT             0  -9999.00
000 007 193 000 Best (4 layer) lifted index      K                    LFT4             0  -9999.00
000 007 193 001 Best (4 layer) lifted index      K                    LFT4             0  -9999.00
000 007 194 000 Richardson number                -                    RICH             0  -9999.00
000 007 195 000 Convective Weather Detect, Indx  -                    CWDI             0  -9999.00
000 007 196 000 Ultra Violet Index               -                    UVIX             0  -9999.00
000 007 197 000 Updraft Helicity                 m**2 s**-2           UPHL             0  -9999.00
000 007 197 002 Updraft Helicity                 m**2 s**-2           UPHL             0  -9999.00
000 007 197 005 Updraft Helicity                 m**2 s**-2           UPHL             0  -9999.00
000 007 198 000 Leaf Area Index                  -                    LFAI             0  -9999.00
000 007 199 000 Hrly Max Up Helicity 2km-5km AGL m**2 s**-2           MXUPHL           0  -9999.00
000 007 199 002 Hrly Max Up Helicity 2km-5km AGL m**2 s**-2           MXUPHL           0  -9999.00
000 007 199 005 Hrly Max Up Helicity 2km-5km AGL m**2 s**-2           MXUPHL           0  -9999.00
000 007 199 008 Hrly Max Up Helicity 2km-5km AGL m**2 s**-2           MXUPHL           0  -9999.00
000 007 201 000 Bourgoiun Negative Energy Layer  J kg-1               BNEGLAY          0  -9999.00
000 007 202 000 Bourgoiun Positive Energy Layer  J kg-1               BPOSELAY         0  -9999.00
!
! Aerosols
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 013 192 000 Particulate matter (coarse)      micro-g m**-3        PMTC             0  -9999.00
000 013 193 000 Particulate matter (fine)        micro-g m**-3        PMTF             0  -9999.00
000 013 194 000 Particulate matter (fine)        log10(micro-g m**-3) LPMTF            0  -9999.00
000 013 195 000 Integrated column PM (fine)      log10(micro-g m**-3) LIPMF            0  -9999.00
000 013 195 008 Integrated column PM (fine)      log10(micro-g m**-3) LIPMF            0  -9999.00
!
! trace gases
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 014 192 000 Ozone mixing ratio               kg/kg                OZMR             0  -9999.00
000 014 192 001 Ozone mixing ratio               kg/kg                OZMR             0  -9999.00
000 014 193 000 Ozone concentration              ppb                  OZCON            0  -9999.00
000 014 193 008 Ozone concentration              ppb                  OZCON            0  -9999.00
000 014 194 000 Ozone concentration category     -                    OZCAT            0  -9999.00
!
! Radar
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 015 003 000 Vertically-Integrated Liquid H2O kg m**-2             VIL              0  -9999.00
000 015 192 000 Vertically-Integrated Liquid H2O kg m**-2             VIL              0  -9999.00
!
! Forecast Radar Imagery category
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 016 000 000 Equiv reflectivity rain          m m**6 m**-3         REFZR            0  -9999.00
000 016 001 000 Equiv reflectivity snow          m m**6 m**-3         REFZI            0  -9999.00
000 016 002 000 Equiv reflectivity param convec  m m**6 m**-3         REFZL            0  -9999.00
000 016 003 000 Echo Top                         m                    RETOP            0  -9999.00
000 016 004 000 Reflectivity                     dB                   REFD             0  -9999.00
000 016 005 000 Composite reflectivity           dB                   REFC             0  -9999.00
!
000 016 192 000 refl backscatter from rain       mm6/m3               REFZR            0  -9999.00
000 016 193 000 refl backscatter from ice        mm6/m3               REFZI            0  -9999.00
000 016 194 000 refl backscatter from convection mm6/m3               REFZC            0  -9999.00
000 016 195 000 reflectivity                     dB                   REFD             0  -9999.00
000 016 195 002 reflectivity                     dB                   REFD             0  -9999.00
000 016 195 005 reflectivity                     dB                   REFD             0  -9999.00
000 016 196 000 Maximum/Composite reflectivity   dB                   REFC             0  -9999.00
000 016 196 002 Maximum/Composite reflectivity   dB                   REFC             0  -9999.00
000 016 196 005 Maximum/Composite reflectivity   dB                   REFC             0  -9999.00
000 016 197 000 Echo Top                         m                    RETOP            0  -9999.00
000 016 197 002 Echo Top                         m                    RETOP            0  -9999.00
000 016 197 005 Echo Top                         m                    RETOP            0  -9999.00
000 016 198 000 Hrly Max Sim Refl at 1km AGL     dB                   MAXREF           0  -9999.00
000 016 198 002 Hrly Max Sim Refl at 1km AGL     dB                   MAXREF           0  -9999.00
000 016 198 005 Hrly Max Sim Refl at 1km AGL     dB                   MAXREF           0  -9999.00
000 016 198 008 Hrly Max Sim Refl at 1km AGL     dB                   MAXREF           0  -9999.00

! Electrodynamics
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 017 192 000 Lightning                        non-dim              LTNG             0  -9999.00
!
! physical atmospheric properties
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
